month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-05,Missouri,2492,0,15869,10448,1452,1048,0,14,9,5,1563,783,9,300,34,2,0,0,48,25,10,2,1,0,34114
2019-05,Montana,1091,0,2747,3255,222,203,10,2,5,0,374,637,1,38,9,4,0,0,1,3,0,0,1,0,8603
2019-05,Nebraska,3146,85,67,1089,22,4,0,0,0,0,9,41,0,30,0,0,0,0,0,2,0,0,0,0,4495
2019-05,Nevada,2535,0,4128,2161,281,254,2,0,0,0,308,97,1,0,0,0,0,0,0,1,0,1,0,0,9769
2019-05,New Hampshire,1291,0,4079,2328,205,1,194,0,9,0,0,9,0,64,6,6,0,0,0,1,0,0,0,0,8193
2019-05,New Jersey,0,0,4791,2545,219,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,1,1,1,0,7693
2019-05,New Mexico,1286,0,5564,3361,530,292,0,5,2,1,409,344,2,50,0,0,0,0,7,3,0,0,0,0,11856
2019-05,New York,3240,2861,8260,10090,1296,206,0,1,0,1,35,30,6,37,63,0,3,4,309,257,14,6,10,2,26731
2019-05,North Carolina,24202,141,1312,7798,989,180,0,9,22,0,1925,1443,11,467,95,24,4,5,0,7,2,0,1,0,38637
2019-05,North Dakota,468,0,1436,2033,106,75,12,1,2,0,73,87,0,3,0,0,0,0,6,9,1,0,0,0,4312
2019-05,Ohio,12245,154,17577,9758,1569,864,2,8,7,2,1043,499,3,50,15,1,0,0,27,17,3,2,4,0,43850
2019-05,Oklahoma,3048,0,9704,6112,1055,1008,529,15,11,0,1812,1262,7,0,0,0,0,0,26,21,15,1,1,0,24627
2019-05,Oregon,5465,512,12305,8465,0,10,5,0,0,0,0,0,0,155,52,1,0,0,0,0,0,0,0,0,26970
2019-05,Pennsylvania,22289,0,38050,10807,13,0,294,0,0,0,0,0,0,683,107,1,0,0,0,0,0,0,0,0,72244
